name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,2438,190966214,,,,,-94.5172824,39.1242539,POINT (-94.5172824 39.1242539)
,2439,190966215,,,,,-94.5166202,39.1243391,POINT (-94.5166202 39.1243391)
,2440,190966218,,,,,-94.516412,39.1243422,POINT (-94.516412 39.1243422)
,2441,190966219,,,,,-94.515988,39.1243288,POINT (-94.515988 39.1243288)
,2442,190966220,,,,,-94.5133724,39.1240643,POINT (-94.5133724 39.1240643)
,2443,190966222,,,,,-94.5128736,39.1240164,POINT (-94.5128736 39.1240164)
,2444,190966224,,,,,-94.5119825,39.1239196,POINT (-94.5119825 39.1239196)
,2445,190966226,,,,,-94.5078962,39.1235147,POINT (-94.5078962 39.1235147)
,2446,190966246,switch,,,,-94.4981578,39.1211696,POINT (-94.4981578 39.1211696)
,2447,190966248,railway_crossing,,,,-94.4980334,39.1211316,POINT (-94.4980334 39.1211316)
,2448,190966279,,,,,-94.517148,39.1222684,POINT (-94.517148 39.1222684)
,2449,190966441,switch,,,,-94.5120932,39.1215786,POINT (-94.5120932 39.1215786)
,2450,190966448,,,,,-94.5005639,39.1204398,POINT (-94.5005639 39.1204398)
,2451,190966450,,,,,-94.4995639,39.1199006,POINT (-94.4995639 39.1199006)
,2452,190966452,,,,,-94.4991907,39.1182334,POINT (-94.4991907 39.1182334)
,2453,190966456,,,,,-94.5000549,39.11488,POINT (-94.5000549 39.11488)
,2454,190966473,,,,,-94.5016187,39.1110144,POINT (-94.5016187 39.1110144)
,2455,190966474,,,,,-94.5026204,39.1103759,POINT (-94.5026204 39.1103759)
,2456,190966524,,,,,-94.508917,39.0510938,POINT (-94.508917 39.0510938)
,2457,190966526,,,,,-94.509646,39.0504061,POINT (-94.509646 39.0504061)
,2458,190966530,,,,,-94.510959,39.048944,POINT (-94.510959 39.048944)
,2459,190966532,,,,,-94.511156,39.0487606,POINT (-94.511156 39.0487606)
,2460,190966543,,,,,-94.5134995,39.0467744,POINT (-94.5134995 39.0467744)
,2461,190966545,,,,,-94.5141434,39.0464698,POINT (-94.5141434 39.0464698)
,2462,190966546,,,,,-94.5164662,39.0457656,POINT (-94.5164662 39.0457656)
,2463,190966547,,,,,-94.5176135,39.0454232,POINT (-94.5176135 39.0454232)
,2464,190966548,,,,,-94.5189349,39.0451627,POINT (-94.5189349 39.0451627)
,2465,190966549,,,,,-94.5197489,39.0449958,POINT (-94.5197489 39.0449958)
,2466,190966550,,,,,-94.5200306,39.0449136,POINT (-94.5200306 39.0449136)
,2467,190966637,,,,,-94.535806,39.1198068,POINT (-94.535806 39.1198068)
,2468,190966691,,,,,-94.5700578,39.1137887,POINT (-94.5700578 39.1137887)
,2469,190966698,level_crossing,,,,-94.5737377,39.1134868,POINT (-94.5737377 39.1134868)
,2470,190967270,,,,,-94.4851354,39.1212939,POINT (-94.4851354 39.1212939)
,2471,190967271,,,,,-94.4849048,39.1214188,POINT (-94.4849048 39.1214188)
,2472,190967274,,,,,-94.4847492,39.1214979,POINT (-94.4847492 39.1214979)
,2473,190967275,,,,,-94.4843884,39.1216883,POINT (-94.4843884 39.1216883)
,2474,190967276,,,,,-94.4838936,39.1219515,POINT (-94.4838936 39.1219515)
,2475,190967277,,,,,-94.4836267,39.1220763,POINT (-94.4836267 39.1220763)
,2476,190967279,,,,,-94.4833799,39.1221533,POINT (-94.4833799 39.1221533)
,2477,190967281,,,,,-94.4831868,39.1221793,POINT (-94.4831868 39.1221793)
,2478,190967282,,,,,-94.4829293,39.122196,POINT (-94.4829293 39.122196)
,2479,190967283,,,,,-94.4827201,39.1221877,POINT (-94.4827201 39.1221877)
,2480,190967284,,,,,-94.4824586,39.1221814,POINT (-94.4824586 39.1221814)
,2481,190967286,,,,,-94.4819154,39.1221637,POINT (-94.4819154 39.1221637)
,2482,190967288,,,,,-94.4813803,39.122145,POINT (-94.4813803 39.122145)
,2483,190967289,,,,,-94.4804563,39.122118,POINT (-94.4804563 39.122118)
,2484,190967290,,,,,-94.4799226,39.1221034,POINT (-94.4799226 39.1221034)
,2485,190967291,,,,,-94.4793848,39.1220826,POINT (-94.4793848 39.1220826)
,2486,190967293,,,,,-94.4786096,39.1220607,POINT (-94.4786096 39.1220607)
,2487,190967295,,,,,-94.4776413,39.122042,POINT (-94.4776413 39.122042)
,2488,190967296,,,,,-94.477412,39.1220649,POINT (-94.477412 39.1220649)
,2489,190967297,,,,,-94.4771666,39.1221138,POINT (-94.4771666 39.1221138)
,2490,190967299,,,,,-94.4770311,39.122146,POINT (-94.4770311 39.122146)
,2491,190967301,,,,,-94.4767415,39.122248,POINT (-94.4767415 39.122248)
,2492,190967303,,,,,-94.4759502,39.1225216,POINT (-94.4759502 39.1225216)
,2493,190967305,,,,,-94.471723,39.1239678,POINT (-94.471723 39.1239678)
,2494,190967375,,,,,-94.4507356,39.1232616,POINT (-94.4507356 39.1232616)
,2495,190967377,,,,,-94.4459839,39.1246603,POINT (-94.4459839 39.1246603)
,2496,190967379,,,,,-94.4451688,39.1249096,POINT (-94.4451688 39.1249096)
,2497,190967382,,,,,-94.440346,39.1263751,POINT (-94.440346 39.1263751)
,2498,190967383,,,,,-94.4400637,39.1264659,POINT (-94.4400637 39.1264659)
,2499,190967384,,,,,-94.4397554,39.1265684,POINT (-94.4397554 39.1265684)
,2500,190967385,,,,,-94.4391347,39.1268058,POINT (-94.4391347 39.1268058)
,2501,190967387,,,,,-94.4388162,39.1269429,POINT (-94.4388162 39.1269429)
,2502,190967389,,,,,-94.4380276,39.1273376,POINT (-94.4380276 39.1273376)
,2503,190967392,,,,,-94.4292933,39.1330758,POINT (-94.4292933 39.1330758)
,2504,190967393,,,,,-94.4285496,39.1336086,POINT (-94.4285496 39.1336086)
,2505,190967395,,,,,-94.4279067,39.1340942,POINT (-94.4279067 39.1340942)
,2506,190967397,,,,,-94.4266922,39.1351199,POINT (-94.4266922 39.1351199)
,2507,190967398,,,,,-94.4257431,39.1360039,POINT (-94.4257431 39.1360039)
,2508,190967399,,,,,-94.424978,39.136794,POINT (-94.424978 39.136794)
,2509,190967400,,,,,-94.4204374,39.1418926,POINT (-94.4204374 39.1418926)
,2510,190967402,,,,,-94.4198875,39.1425128,POINT (-94.4198875 39.1425128)
,2511,190967404,,,,,-94.4197333,39.1426866,POINT (-94.4197333 39.1426866)
,2512,190967405,,,,,-94.4192511,39.1432034,POINT (-94.4192511 39.1432034)
,2513,190967406,,,,,-94.4190625,39.143395,POINT (-94.4190625 39.143395)
,2514,190967409,,,,,-94.4186845,39.1437691,POINT (-94.4186845 39.1437691)
,2515,190967410,,,,,-94.4182091,39.1442259,POINT (-94.4182091 39.1442259)
,2516,190967411,,,,,-94.4136942,39.148598,POINT (-94.4136942 39.148598)
,2517,190967412,,,,,-94.4113729,39.150839,POINT (-94.4113729 39.150839)
,2518,190967413,,,,,-94.4110698,39.1511293,POINT (-94.4110698 39.1511293)
,2519,190967415,,,,,-94.4106125,39.1515505,POINT (-94.4106125 39.1515505)
,2520,190967416,,,,,-94.4100975,39.1519877,POINT (-94.4100975 39.1519877)
